"area","acc","recall","precision","F1","type_1_error","type_2_error","F1_makro"
0,0.8,0.230769230769231,1,0.375,0,0.769230769230769,0.721044981640147
1,0.94,0.857142857142857,0.75,0.8,0.0465116279069767,0.142857142857143,0.721044981640147
2,0.79,0.925,0.672727272727273,0.778947368421053,0.3,0.075,0.721044981640147
3,0.97,1,0.869565217391304,0.930232558139535,0.0375,0,0.721044981640147
