"area","acc","recall","precision","F1","type_1_error","type_2_error","F1_makro"
0,0.74,0,0,0,0,1,0.581536388140162
1,0.88,0.571428571428571,0.571428571428571,0.571428571428571,0.0697674418604651,0.428571428571429,0.581536388140162
2,0.74,1,0.606060606060606,0.754716981132076,0.433333333333333,0,0.581536388140162
3,1,1,1,1,0,0,0.581536388140162
