"area","acc","recall","precision","F1","type_1_error","type_2_error","F1_makro"
0,0.52,0.505154639175258,1,0.671232876712329,0,0.494845360824742,0.213886650550631
1,0.85,1,0.0625,0.117647058823529,0.151515151515152,0,0.213886650550631
2,0.72,0.5,0.0357142857142857,0.0666666666666667,0.275510204081633,0.5,0.213886650550631
3,0.93,0,0,0,0.07,0,0.213886650550631
