"area","acc","recall","precision","F1","type_1_error","type_2_error","F1_makro"
0,0.99,0.989690721649485,1,0.994818652849741,0,0.0103092783505155,0.915371329879102
1,0.99,1,0.5,0.666666666666667,0.0101010101010101,0,0.915371329879102
2,1,1,1,1,0,0,0.915371329879102
3,1,1,1,1,0,0,0.915371329879102
