"id","num_of_k","size_of_vector","diff","lower_label","should_be_zero"
255,24,110,2457,0,2446
256,24,210,1523,0,1521
257,24,310,263,0,262
258,24,410,43,0,43
259,24,510,8,0,8
260,24,610,0,0,0
261,24,710,0,0,0
262,24,810,0,0,0
263,24,910,0,0,0
264,24,1010,0,0,0
265,25,10,2473,0,2446
266,25,110,2450,0,2446
267,25,210,2451,0,2446
268,25,310,208,0,208
269,25,410,54,0,54
270,25,510,8,0,8
271,25,610,0,0,0
272,25,710,0,0,0
273,25,810,1,0,1
274,25,910,0,0,0
275,25,1010,0,0,0
276,26,10,2473,0,2446
277,26,110,2453,0,2446
278,26,210,1294,0,1293
279,26,310,311,0,310
280,26,410,101,0,101
281,26,510,2,0,2
282,26,610,1,0,1
283,26,710,0,0,0
284,26,810,0,0,0
285,26,910,0,0,0
286,26,1010,0,0,0
287,27,10,2477,0,2446
288,27,110,2457,0,2446
289,27,210,1684,0,1680
290,27,310,410,0,409
291,27,410,82,0,82
292,27,510,15,0,15
293,27,610,0,0,0
294,27,710,0,0,0
295,27,810,0,0,0
296,27,910,0,0,0
297,27,1010,0,0,0
298,28,10,2473,0,2446
299,28,110,2459,0,2446
300,28,210,1410,0,1407
301,28,310,307,0,306
302,28,410,28,0,28
303,28,510,11,0,11
304,28,610,1,0,1
305,28,710,0,0,0
306,28,810,0,0,0
307,28,910,0,0,0
308,28,1010,0,0,0
309,29,10,2477,0,2446
310,29,110,2457,0,2446
311,29,210,1886,0,1881
312,29,310,905,0,904
313,29,410,190,0,190
314,29,510,2,0,2
315,29,610,1,0,1
316,29,710,0,0,0
317,29,810,0,0,0
318,29,910,0,0,0
319,29,1010,0,0,0
320,30,10,2473,0,2446
321,30,110,2460,0,2446
322,30,210,2450,0,2446
323,30,310,687,0,686
324,30,410,111,0,111
325,30,510,11,0,11
326,30,610,2,0,2
327,30,710,1,0,1
328,30,810,0,0,0
329,30,910,0,0,0
330,30,1010,0,0,0
